,Tweets
10,بدترین فوجی قبضے اور بربریت کیخلاف سینہ سپر بہادر کشمیری دلوں میں کربلا کی یاد لئے نہایت ثابت قدمی اور حوصلے سے میدانِ عمل میں صف آراء ہیں کیونکہ انہیں یقین ہے کہ ظلم و ناانصافی کیخلاف انکی جدوجہد بالکل ویسے ہی ثمربار ہوگی جیسے شہدائے کربلا نے ہمیں عملی طور پر دکھایا۔
11,"2. تاریخ کے اس سفر میں کئی ایک عظیم مسلمان ایسے گزرے ہیں جنہوں نے کربلا کی خاک سے پھوٹنے والی خوشبو کو سینوں میں سجایا اور جبر، نوآبادیاتی اقتدار اور ناانصافی کی قوتوں سے بے خوف ٹکرا گئے۔
 3. مقبوضہ جموں و کشمیر میں غاصبانہ قبضے اور استبداد کیخلاف تحریک تو آج بھی جاری ہے۔"
12,"کربلا میں امام حسین علیہ السلام، انکے اہل خانہ اور ساتھیوں کی شہادت میں ہمارے لئے 3 اہم پیغامات پوشیدہ ہیں۔ 
1. حیاتِ جاوداں انہیں نصیب ہوتی ہےجو ظلم و ناانصافی کیخلاف ڈٹتے اور اسکی پاداش میں اپنی جانوں تک سےگزر جاتےہیں۔ محض دولت، طاقت یا تعلیم کے بل پر یہ مقام نہیں کمایا جاسکتا۔"
13,The brave Kashmiris who are fighting against the worst form of military oppression &amp; tyranny should be inspired by Karbala to stay steadfast in their courage because their struggle against tyranny &amp; injustice will succeed as the martyrs of Karbala showed us.
14,"2. Throughout history many great Muslims have been inspired by Karbala &amp; sacrificed their lives to stand against oppression, colonial rule, injustice. 3. Today, the struggle continues against oppression of occupation &amp; injustice in IIOJK."
15,"There are 3 imp messages for us from Imam Hussain AS, his family &amp; followers' sacrifice at Karbala. 1. Immortality is earned by those who give the supreme sacrifice of their lives to stand against tyranny &amp; injustice. It is not earned simply by being rich, powerful or educated."
16,ان میں شہربھر کے نالوں کی مکمل صفائی، آبی گزرگاہوں کی راہ میں رکاوٹ بننے والی تجاوزات سے نمٹنا، کوڑا کرکٹ اور نکاسی آب کے مسائل کا مستقل حل دریافت کرنا اور کراچی کے عوام کو پانی کی فراہمی جیسے بنیادی اور اہم ترین مسئلے کا حل شامل ہے۔
17,پوری قوم اس درد کو محسوس کررہی ہے جس میں کراچی کے عوام مبتلا ہیں۔ تاہم اس تباہ کن صورتحال اور تمام تر مشکلات کے ہنگام مثبت پیشرفت یہ ہوئی ہے کہ میری حکومت سندھ حکومت کیساتھ ملکر فوری طور پر کراچی کے 3 بڑے مسائل کے حل کیلئے اقدامات اٹھا رہی ہے:
18,Cleaning the nullahs once &amp; for all &amp; dealing with encroachments impeding water channels; devising a permanent solution to the solid waste disposal &amp; sewerage problems; &amp; resolving the critical issue of water supply to the citizens of Karachi.
19,"The whole nation feels the pain our people in Karachi are going through. However, out of this devastation &amp; suffering there is now a positive development as my govt, along with the Sindh govt, is moving to immediately act &amp; resolve 3 major problems of Karachi:"
20,وزیراعظم @AbeShinzo کی قیادت میں پختہ روابط اور تمام شعبوں میں بڑھتے ہوئے تعاون و اشتراک کیساتھ پاکستان اور جاپان (🇵🇰 - 🇯🇵) کے مابین تعلقات عظیم پیشرفت سے ہمکنار ہوئے ہیں۔ ہم جنابِ وزیراعظم کی اچھی صحت اور مستقبل کے حوالے سے انکے عزائم و کاوشوں کی بارآوری کیلئے دعاگو ہیں۔
21,"Great progress has been made in Pakistan - Japan ties under PM @AbeShinzo,🇵🇰 - 🇯🇵, with relations being further strengthened under his leadership, leading to enhanced cooperation in all areas. We send our best wishes for his good health and future endeavours."
22,نالوں کی صفائی، نکاسی آب کے نظام کی اصلاح اور کراچی کے عوام کو فراہمی آب جیسے بڑے چیلنج پر قابو پاتے ہوئے ہم سیلاب سے پیدا شدہ مسائل کے مستقل حل کے منصوبے کا اعلان کریں گے اور ان بحرانی حالات میں اہل کراچی کو کسی طور تنہا نہیں چھوڑیں گے۔
23,میں نےچیئرمین این ڈی ایم اےکوہدایات دی ہیں کہ پانی میں پھنسےلوگوں بچانےپرہی اکتفانہ کریں بلکہ فوری طورپرضرورت مند افرادکیلئےہنگامی طبی امداد،خوراک اور پناہ گاہ کی فراہمی کابھی انتظام کریں۔ اسکے ساتھ میں نےانہیں بنیادی سہولیات (یوٹیلیٹیز) کی فوری بحالی یقینی بنانےکا بھی حکم دیاہے۔
24,شدید بارشوں کے تناظر میں میری حکومت عوام خصوصاً کراچی کے لوگوں کو درپیش مشکلات سے بخوبی آگاہ ہے. میں امدادی کارروائیوں کی ذاتی طور پر نگرانی کر رہا ہوں اور صورتحال سے باقاعدہ طور پر باخبر رہنے کیلئے این ڈی ایم اے کے چیئرمین اور گورنر سندھ سے مستقل رابطے میں ہوں۔
25,"We will be announcing a plan for a permanent solution to the problems caused by floods by cleaning of nullahs, fixing of the sewage system &amp; resolving the huge challenge of water supply to the ppl of Karachi. We will not abandon the people of Karachi in their time of crisis."
26,"Have directed Chairman NDMA to immediately not only rescue stranded ppl, but also provide emergency medical assistance, food &amp; shelter to all those in need. I have also asked NDMA Chairman to ensure restoration of utilities on an emergency basis."
27,"My govt is fully cognizant of the suffering of our people in the wake of the heavy rains, especially the people of Karachi. I am personally monitoring the relief &amp; rescue operations &amp; am in constant contact with Chairman NDMA &amp; Governor Sindh for regular updates."
28,میں واضح کردوں: کچھ بھی ہوجائے!میری حکومت این ار او نہیں دےگی کیونکہ یہ قومی خزانےپرڈاکہ ڈالنےوالوں کےمحاسبےکے حوالےسےقوم کااعتماد مجروح کرنےکے مترادف ہوگا۔مشرف نے2 سیاسی رہنماؤں کو این آر او تو دیامگراس سےقرضےکئی گنابڑھ گئےاورمعیشت تباہ ہوگئی۔اب مزید کوئی این آر اوز نہیں ہوں گے۔
29,جمہوریت کےلبادے میں چھپنےکی کوشش کررہی ہے۔ این آر او کے حصول کیلئے یہ نیب کو کمزور کرنے کیساتھ قومی معیشت کی تباہی اور غربت میں اضافے کیلئے پاکستان کو فاٹیف کی بلیک لسٹ تک میں شامل کردیتے۔ حال یہ ہے کہ این آر او کیلئے یہ لگاتار حکومت گرانے کی دھمکیاں بھی دے رہے ہیں۔
30,احتساب کاشکنجہ کسےجانےکےبعدیہ اپوزیشن رہنما پارلیمان کو یرغمال بناکرمالِ حرام بچانےکیلئےہلکان ہو رہےہیں۔کوروناءکےانسداد کی مؤثرحکومتی حکمت عملی؛جسکی کامیابی عالمی سطح پرتسلیم کی گئی اور فاٹیف کی گرےلسٹ سےنکلنےکی پاکستان کی کوششوں کو سبوتاژ کرکےحزب مخالف اپنی لوٹ کھسوٹ بچانےکیلئے
31,حزب اختلاف نےآج ایون بالا میں فاٹیف سے متعلق 2 اہم قانونی مسودہ جات یعنی انسدادِ منی لانڈرنگ اور آئی سی ٹی وقف بلز کی منظوری رکوائی۔میں روز اول سےکہہ رہا ہوں کہ ذاتی مفادات کےاسیر ان اپوزیشن رہنماؤں اور پاکستان کے مفادات جدا جدا ہیں۔
32,"Let me make clear: No matter what happens, my govt will not allow any NRO as it would be betrayal of nation's trust in holding plunderers of public wealth accountable. Musharraf gave NROs to the 2 pol ldrs which quadrupled our debt &amp; destroyed economy. There will be no more NROs"
33,"Opposition tries to hide behind facade of democracy to protect their loot &amp; plunder. To blackmail for NRO by defanging NAB, they would even have Pak put on FATF black list to destroy nation's economy &amp; increase poverty. They keep threatening to bring down govt unless given NRO."
34,the opposition ldrs have become desperate to save their corrupt money by trying to prevent parliament from functioning; by seeking to undermine govt's effective Covid 19 strategy - a recognised global success story - &amp; now by trying to sabotage Pak efforts to exit FATF grey list.
35,"Today in Senate the opposition defeated 2 critical FATF-related bills: Anti Money Laundering &amp; ICT Waqf bills. From day one I have maintained that the self-serving interests of the opposition leaders &amp; the country's interests are divergent. As accountability noose has tightened,"
36,صورتحال میں یہ ٹھوس بہتری برآمدات جو جون 2020 کی نسبت 20% زیادہ رہیں، کی مسلسل بحالی اور ریکارڈ ترسیلاتِ زر کا نتیجہ ہے۔
37,پاکستان کی معیشت، ماشاءاللہ درست راہ پر گامزن ہے۔ جولائی 2019 میں 613 ملین ڈالرز اور جون 2020 میں 100 ملین ڈالرز کے خسارے کے بعد صورتحال سنبھل گئی ہے چنانچہ جولائی 2020 میں کرنٹ اکاؤنٹ میں 424 ملین ڈالرز اضافی (سرپلس) جمع ہوچکے ہیں۔
38,"This strong turnaround is a result of continuing recovery in exports, which rose 20 % compared to June 2020, &amp; record remittances."
39,"MashaAllah Pakistan's economy is on the right track. After current account balance posted deficit of $613 mn in July 2019 &amp; a deficit of $100 mn in June 2020, in July 2020 current account balance swung upwards to a surplus of $424 mn."
40,یہ پالیسی امریکہ کی بجائے چند ترقی یافتہ ممالک ہی میں رائج ہے۔ اپنی خیبرپختونخوا حکومت کی جانب سے پہل کرنے پر مجھے فخر ہے اور میں پرامید ہوں کہ دیگر تمام صوبے اسکی تقلید کریں گے۔ وفاق میں بھی ہم اسی جانب پیش قدمی کررہے ہیں۔
41,معاشی مشکلات کےباوجود خیبرپختونخوا کا ڈومیسائل رکھنے والے تمام شہریوں کو فی خاندان 10لاکھ روپےکی یونیورسل ہیلتھ انشورنس مہیا کرنے جیسے جرات مندانہ فیصلے پر میں خیبرپختونخوا حکومت کو مبارکباد پیش کرتا ہوِں۔ بانیانِ پاکستان کے خوابوں کی تعبیر اور فلاحی ریاست کی جانب یہ پہلا قدم ہے۔
42,This policy is only prevalent in a few developed states &amp; not in the USA. I feel proud of our KP govt for taking this lead &amp; hope all other provinces will follow suit. We are moving to do the same at the federal level.
43,Congratulations to KP govt that despite financial problems they have taken a bold step of giving Universal health insurance coverage of Rs 1 mn per family to all KP-domiciled citizens. This is in line with our Founding Father's vision for Pak &amp; a first step towards welfare state
44,پاکستانی معیشت کیلئےایک اورخوشخبری: جولائی 2020 میں سمندرپارپاکستانیوں کیجانب سےبھجوائی جانےوالی ترسیلاتِ زر 2768 ملین ڈالرز تک پہنچ گئیں جوملکی تاریخ میں 1 ماہ میں بھجوایاجانےوالا سب سےزیادہ سرمایہ ہے۔یہ ترسیلاتِ زر جون 2020 کی نسبت 12.2%جبکہ جولائی 2019 کی نسبت 36.5% زیادہ ہیں۔
45,"More good news for Pak economy. Remittances from overseas Pakistanis reached $2,768 mn in July 2020, highest ever amount in one month in the history of Pakistan. This is 12.2% increase over June 2020 and 36.5% increase over July 2019."
46,"جہاز رانی کا شعبہ زندہ کرنے، قیمتی زرمبادلہ بچانےاور بادبانی سےمنسلک افرادکیلئےروزگار کےمزیدمواقع پیداکرنےکیلئےنئی/متحرک ""بلیو اکانومی پالیسی""کوحتمی شکل دینےپرمیں وزارت بحری امورکومبارکبادپیش کرتا ہوں۔ہم یقینی بنائیں گےکہ پاکستان اپنی غیر معمولی بحری صلاحیتوں سےبھرپوراستفادہ کرے۔"
47,"I congratulate @MaritimeGovPK for finalising a new &amp; dynamic #BlueEconomy policy to revitalise our shipping sector, saving Pak valuable ForEX &amp; creating more employment opportunities for our seafarers. We will ensure Pakistan fulfills its enormous maritime potential."
48,بہادر کشمیری بھائیوں کو میرا پیغام ہے کہ حق خودارادیت کی انکی منصفانہ جدوجہد میں ہم بحثیت قوم یکجا اور انکے شانہ بشانہ کھڑے ہیں۔ بھارت کے جابرانہ قبضے کیخلاف پوری جوانمردی سے برسرِپیکار اہلِ کشمیر کی ہم ہر سطح پر مکمل معاونت کریں گے۔
49,وراثت میں ملنےوالے توانائی کےتباہ حال ڈھانچےکی اصلاح پربھی میں قوم کو مبارکباد پیش کرتا ہوں۔ طویل گفت و شنید کے بعد ہم نےآئی پی پیز کیساتھ نئےمعاہدے کئے ہیں جن کےنتیجے میں بجلی کی پیداواری لاگت اور گردشی قرضوں میں کمی آئےگی۔ بجلی کی تقسیمِ کار کا نظام اصلاحات کاہمارا اگلا ہدف ہے۔
50,میں اپنی 2 برس کی پیہم کاوشوں کےبعد معیشت میں بہتری پربھی قوم کومبارکباد پیش کرتاہوں۔کرنٹ اکاونٹ اور تجارتی خسارے میں کمی،خصوصی اقدامات کےباعث تعمیرات کی بحالی/اسکےذریعےروزگار کےمواقع بڑھ رہےہیں، بازارحصص،برآمدات، اورمحصولات کی وصولی سمیت سیمنٹ/کاروں کی فروخت میں اضافہ نمایاں ہے۔
51,مالی امداد اور مخصوص بندشوں (سمارٹ لاک ڈاؤن) کے ذریعے اپنے غریب طبقے کو بچاتے ہوئے کورونا (COVID-19) پر کامیابی سے قابو پانے اور متاثرین کی مجموعی تعداد میں کمی پر قوم کو مبارک بادپیش کرتا ہوں۔
52,قوم کو آزادی کے 73 برس مبارک! قانون کی اس بالادستی، جس میں تمام شہری قانون کی نظر میں برابر ہوں اور رحم کی بنیادوں پر استوار اسلامی فلاحی ریاست کے قیام کے لئے قائد کے پاکستان کی جانب ہمارے سفر کا آغاز ہو چکا ہے-
53,"دھرنے کے دوران نوجوانوں کے لئے یہی میرا بنیادی پیغام تھا اور آج بھی ہماری نوجوان نسل کے لئے یہی ایک انمول سبق  ہے۔
https://t.co/jIQy5Lrare"
54,My message to our brave Kashmiri brethren is that our nation stands united with them in their just struggle for self determination. We will provide them with all the support at all levels as they valiantly fight India's illegal occupation.
55,I congratulate nation bec we are fixing the damaging structure we inherited in our Power sector. After long negotiations we have signed new agreement with IPPs which will bring down cost of power generation &amp; reduce circular debt. Next reform target is power distribution system.
56,I congratulate the nation at upturn in our economy after 2 yrs of struggle. Current Account &amp; Fiscal deficits are down; construction industry &amp; thru it job creation taking off bec of our special incentives; stock market up; exports &amp; revenues up &amp; cement &amp; car sales up;
57,I congratulate the nation on successfully tackling COVID19 by protecting our poor through cash support &amp; smart lockdowns &amp; by being able to reduce our overall cases.
58,"I congratulate our nation on its 73 yrs of Independence. Our journey towards Quaid's Pakistan has begun: for Rule of Law with all citizens equal before the law; &amp; towards an Islamic Welfare State, premised on compassion."
59,This was my main message to our youth in our Dharna and it remains an invaluable lesson for our youth today. https://t.co/jIQy5Lrare
60,"لوئر دیر سے ملک کے ہر حصے تک؛ ٹائیگرز فورس کے رضاکاروں اور نوجوانوں سے  ضعیف شہریوں تک؛ آج شجرکاری کیلئے سب بڑی تعداد میں نکلے۔ میں ان تمام لوگوں کا شکریہ ادا کرنا چاہتا ہوں جنہوں نے شجرکاری کیلئے میری آواز پر لبیک کہا اور آج اپنے حصے کا پودا لگایا۔
 https://t.co/z9UWVMbmVH"
61,From Lower Dir to all parts of the country; from Tigers and youth to the elderly; all came out in huge numbers to plant trees. I want to thank everyone who responded to my call to plant a tree today. https://t.co/z9UWVMbmVH
62,اس مرتبہ 8 اگست کو مقبوضہ جموں و کشمیر میں بھارت کے غیر قانونی اقدامات کو ایک برس مکمل ہونے پر منعقدہ تقریب میں اہل کشمیر کی حمایت اور مقبوضہ جموں و کشمیر میں بھارتی جبر و استحصال کیخلاف لب کشائی پر میں ڈاکٹر مہاتیر بن محمد کا مشکور ہوں۔
63,I want to thank Dr Mahathir Bin Mohamad for speaking in support of Kashmiris and against Indian repression in IIOJK - this time at a function on 8 Aug to mark a year of the illegal Indian actions in IIOJK.
64,ہدف اگرچہ ایک روز میں 35 لاکھ درخت لگانےکا ہے تاہم ہم اس سے تجاوز کی کوشش کرینگے.
65,میں چاہتا ہوں کہ ہرفرد کل 9 اگست کو پاکستان بھر میں درخت لگانے کے عمل میں میرے ساتھ شامل ہو۔ میں اپنے تمام اراکین پارلیمان، وزراء، وزرائےاعلیٰ اور ٹائیگرز فورس کو بھی ملکی تاریخ کی اس سب سے بڑی 'شجرکاری مہم' میں شرکت کی ہدایات دے چکا ہوں۔
66,"I want everyone to join me tomorrow, 9 Aug, in planting trees all over Pak. Have asked my MPs, ministers, Chief Ministers and Tiger Force to participate in the biggest tree planting campaign in our history. The target is 35 lakh trees in a day though we will try to exceed it."
67,بھارتی ریاست کیرالہ میں ایئر انڈیا کے جہاز کو پیش آنے والے حادثے اور اسکے نتیجے میں معصوم جانوں کے ضیاع پر نہایت مغموم ہوں۔ رب کریم متاثرہ خاندانوں کو یہ صدمہ برداشت کرنے کی سکت عطا فرمائیں۔
68,Saddened to learn of the Air India plane crash in Kerala state leading to loss of innocent lives. May Allah give strength to the bereaved families in their difficult hour.
69,سمندرپارپاکستانیوں کی سرمایہ کاری کی شکل میں یہ منصوبہ زرمبادلہ کی آمدکاوسیلہ بنےگا۔تعمیرات/ہاؤسنگ سےجڑی لگ بھگ 40 صنعتوں کےباعث یہ لاکھوں نوکریوں کوجنم دینےکیساتھ دولت پیدا کرےگااورقومی قرضوں سےنجات کیلئےہمیں ادائیگیوں کےقابل بنائےگا۔6 ملین درخت بھی اسی منصوبےکےتحت لگائےجائینگے۔
70,آج میں ملکی تاریخ کے بڑے منصوبوں میں سے ایک یعنی 'راوی سٹی' کا سنگ بنیاد رکھتے ہوئے نہایت پرجوش تھا۔ یہ منصوبہ لاہور کے بے ہنگم پھیلاؤ کےآگے بند باندھےگا، زیرِ زمین پانی کی سطح بلند کرےگا اور دریائےراوی کو دوبارہ اصل حالت میں بحال کرکےاسے ایک گندے نالے میں تبدیل ہونے سے بچائے گا۔
71,Also 6million trees will be planted as part of the Ravi City Project.
72,"The Ravi City project will also bring in foreign exchange through Overseas Pakistani investment in the project. It will create millions of jobs as 40 industries are connected to housing and construction and create wealth, enabling us to start paying off our national debt."
73,"Today I felt great excitement in doing stone laying of Ravi City, one of the biggest mega projects we have launched in our history.This will save Lahore by stopping spread of unplanned urban sprawl, raise water table &amp; revive River Ravi preventing it from becoming a sewerage nala"
74,"صفِ اول کے ایک امریکی ماہر تعمیرات ٹونی آشائی کی جانب سے نمل نالج سٹی کا ہمہ گیر منصوبہ (ماسٹر پلان). میرا خواب ہے کہ دنیا کی نمایاں جامعات میں نمل کا بھی شمار ہو۔ جو کچھ انسانی دماغ کے احاطہ تصور میں سما سکتا ہے وہ عملی طور پر بھی ممکن ہے۔
 https://t.co/ps7ZK3ywAH"
75,"The Master plan of Namal Knowledge City developed by Tony Ashai, a leading US architect. My dream is to see Namal become one of the leading universities in the world. What the mind can picture can happen. https://t.co/ps7ZK3ywAH"
76,اہل کشمیر کو یہ بنیادی حق ملنےتک پاکستان انکی ہر ممکن مدد اور معاونت جاری رکھے گا۔
77,پاکستان کا مؤقف بالکل واضح اور غیر مبہم ہے۔ جموں و کشمیر کے مسئلے کو سلامتی کونسل کی متعلقہ قراردادوں جو اہلِ کشمیر کو ایک آزاد اور شفاف استصوابِ رائے کے ذریعے  خودارادیت کا حق دیتی ہیں، ہی کی روشنی میں حل کیا جائے۔
78,ہم خلافِ قانون بھارت کے زیرِ تسلط جموں و کشمیر میں حقوق اور انسانی حالات کی پیہم بگڑتی صورتحال پر تشویش کا اظہارکرنے، تناؤ میں اضافے سے اجتناب کامشورہ دینے، بین الاقوامی قانون کی تعظیم کی ضرورت پرزور دینے اور تنازعے کے پرامن حل کا مطالبہ کرنے والے کونسل کےرکن ممالک کےمشکور ہیں۔
79,میں تنازعہ کشمیر جو 70برس سےزائد عرصےسےاقوام متحدہ کی سلامتی کونسل کے ایجنڈےپرموجود ہے،کو دوبارہ زیرِغورلانےپر سلامتی کونسل کاخیرمقدم کرتاہوں۔سلامتی کونسل اقوام متحدہ کےچارٹرکےتحت محض عالمی امن وسلامتی کےتحفظ ہی کی نہیں بلکہ اپنی قراردادوں پرعملدرآمد یقینی بنانےکی بھی ذمہ دار ہے۔
80,Pakistan will continue to extend all possible support to the Kashmiri people until they secure this inalienable right.
81,Pakistan’s position remains clear &amp; unambiguous. The J&amp;K dispute must be resolved in accordance with the relevant UNSC resolutions granting Kashmiri people the right of self determination under a free &amp; fair plebiscite.
82,"We thank the Council members who expressed concern over the deteriorating human rights &amp; humanitarian situation in IIOJK, advised against escalation of tensions, underscored the need for respecting international law &amp; called for a peaceful resolution of the dispute."
83,"I welcome the UNSC for again taking up the Jammu &amp; Kashmir dispute, which has been on its agenda for over 70 yrs. The UNSC, under the UN Charter, not only has the responsibility for maintaining international peace &amp; security but also of ensuring implementation of its resolutions."
84,بیروت میں ہونےوالے بڑےدھماکوں، قیمتی جانوں کےضیاع اور ہزاروں شہریوں کےزخمی ہونےکےبارےمیں جان کرنہایت رنجیدہ ہوں۔ان کٹھن گھڑیوں میں ہم اپنےلبنانی بھائیوں کیساتھ انکےغم میں شریک ہیں۔ ربِ کریم زخمیوں کو جلد شفایابی جبکہ سوگوار خاندانوں کو یہ صدمہ عظیم برداشت کرنے کی سکت عطا فرمائیں۔
85,"Deeply pained to hear of the massive explosions in Beirut with precious lives lost &amp; thousand injured.We stand in solidarity with our Lebanese brethren in their difficult hour, sharing their sorrow &amp; grief. May Allah grant speedy recovery to the injured &amp; strength to the bereaved"
86,ہم نے اہلِ کشمیر کی امنگوں اور اقوامِ متحدہ کی سلامتی کونسل کی قراردادوں کے حوالے سے اپنے عزائم و مؤقف کو کل جاری ہونے والے پاکستان کے سیاسی نقشے میں بھی اجاگر اور نمایاں کر دیا ہے۔
87,ہندوستان نےمقبوضہ جموں و کشمیر پرغیر قانونی قبضے کے ذریعے جن کشمیریوں کی آواز گُل کرنے کی کوشش کی میں بطورِ سفیر ان سب کی آواز بنا رہوں گا۔ برسوں بعد میری حکومت نے کشمیر کا مقدمہ نہایت مؤثر طور پر اقوام متحدہ میں اٹھایا اور مودی سرکار کی نسل پرست فسطائیت (ہندوتوا) کو بے نقاب کیا۔
88,یومِ استحصال کےموقع پراہلِ کشمیرسےاظہارِ یکجہتی کیلئےمیں آج آزاد جموں وکشمیر کی اسمبلی سےمخاطب ہوں گا۔گزشتہ برس 5 اگست کےغیر قانونی اقدامات کےبعد سےاہلِ کشمیر کو بھارت کےہاتھوں ظالمانہ/سفاک فوجی محاصرےکاسامنا ہےجبکہ مقبوضہ وادی میں آبادی کےتناسب میں تبدیلی کی کوششیں بھی جاری ہیں۔
89,We have also depicted the aspirations of the Kashmiri people &amp; our commitment to UNSC resolutions in the political map of Pakistan released yesterday.
90,"I will continue to be an ambassador for all Kashmiris whose voices India has tried to silence through its brutal illegal occupation of IIOJK. After many years, my govt raised the Kashmir issue effectively before the UN &amp; exposed the Hindutva Supremacist fascism of the Modi Govt"
91,I will address the AJK Assembly today to show solidarity with Kashmiris on Youm-e-Istehsal. Kashmiris in IIOJK have been subjected to a brutal fascist military siege by India since its illegal actions of 5th Aug last year followed by efforts to change the demography of IIOJK.
92,بلوکی، پنجاب میں 10 ارب درخت اگانےکی مہم (#10BillionTreeTsunami) کےتحت مافیا سےچھڑوائی گئی زمین پر شجرکاری کے ایک برس بعدبڑی تبدیلی نمایاں ہے۔ ماحول شناس ہونےکےناطےمیرےلئے یہ امر باعثِ اطمینان ہےکہ آئندہ نسلوں کیلئےورثے میں سرسبز و شاداب پاکستان چھوڑا جائے https://t.co/sgx7fsFlsU
93,"Baloki, Punjab: Massive change visible a yr after we started tree plantation drive, on land recovered from mafia, as part of #10BillionTreeTsunami. As an environmentalist this gives me the greatest satisfaction to leave a green Pakistan for our coming generations. https://t.co/sgx7fsFlsU"
94,میں نے نیشنل ڈیزاسٹر مینجمنٹ اتھارٹی (این ڈی ایم اے) کے چیئرمین کو فوری طور پر کراچی جانے اور بارش کے بعد صفائی کا کام شروع کرنے کی ہدایات دی ہیں اور افواج پاکستان کو بھی شہر کی صفائی کے کام میں ہاتھ بٹانے کا کہا ہے۔
95,I have asked the Pak army to also help in cleaning up the city. https://t.co/xWFKghKqDa
96,I have asked the NDMA Chairman to go to Karachi immediately and start the clean up in the aftermath of the rain.
97,"مجھے آلودگی کے تدارک اور ماحولیاتی تغیر کے مہلک اثرات سے بچاؤ کے پیشِ نظر پاکستان کو صاف اور سرسبز بنانے کے لئے کی جانے والی اپنی کاوشوں پر فخر ہے۔ 
 https://t.co/KV82wsTkTW"
98,Proud of our efforts for a clean and green Pakistan to fight pollution and climate change. https://t.co/KV82wsTkTW
99,خادم حرمین شریفین عزت مآب سلطان سلمان بن عبدالعزیز کی اسپتال میں داخلےکی تشویشناک خبرموصول ہوئی۔ میں، میری حکومت اور پوری پاکستانی قوم جنابِ سلطان کی جلدشفایابی،عمدہ صحت اور درازئ حیات کیلئےکی جانےوالی اپنے سعودی بھائیوں کی دعاؤں میں شریک ہیں۔اللہ کریم یہ دعائیں قبول فرمائیں،آمین
100,"Heard with concern about hospitalisation of His Majesty King Salman bin Abdul Aziz, Custodian of the Two Holy Mosques. The government and people of Pakistan, and I myself, join our Saudi brethren in prayers for His Majesty's swift recovery, good health and long life. Ameen."
101,اہلِ کشمیر کیلئےخودارادیت کاحق سلامتی کونسل کیجانب سےاورعالمی قانون کےتحت  تسلیم شدہ ہے۔ہم کشمیری عوام کوجو ہندوتوا کی پیروکارنسل پرست بھارت سرکارکے ظالمانہ/غیرقانونی ہتھکنڈوں کیخلاف صف آراء ہیں،انصاف دلوانےکیلئےاپنی جدوجہد جاری رکھیں گے۔میں جانتا ہوں کہ انصاف ہی کابول بالا ہوگا۔
